inventor_name,country,patents,global_rank,country_rank
Shunpei Yamazaki,JP,6787,1,1
Kia Silverbrook,AU,4778,2,1
Tao Luo,US,4490,3,1
Jonathan P. Ive,US,2955,4,2
Junyi Li,US,2883,5,3
Kangguo Cheng,US,2835,6,4
"Frederick E. Shelton, IV",US,2723,7,5
Peter Gaal,US,2554,8,6
Duncan Robert Kerr,US,2534,9,7
Bartley K. Andre,US,2478,10,8
Richard P. Howarth,US,2402,11,9
Wanshi Chen,US,2342,12,10
Eugene Antony Whang,US,2248,13,11
Xiaoxia Zhang,US,2162,14,12
Peter Russell-Clarke,US,2012,15,13
Rico Zörkendörfer,US,1993,16,14
Chen-Hua Yu,TW,1981,17,1
"Lowell L. Wood, JR.",US,1974,18,15
Christopher J. Stringer,US,1923,19,16
Jing Sun,US,1916,20,17
Esmael Hejazi Dinan,US,1915,21,18
Roderick A. Hyde,US,1893,22,19
Daniele De Iuliis,US,1840,23,20
Li Zhang,US,1838,24,21
Hanbyul Seo,KR,1823,25,1
Jody Akana,US,1757,26,22
Lei Zhang,CN,1751,27,1
Matthew Dean Rohrbach,US,1731,28,23
Jeremy Bataillou,US,1717,29,24
Shan Liu,US,1713,30,25
Daniel J. Coster,US,1704,31,26
M. Evans Hankey,US,1677,32,27
Jun Koyama,JP,1543,33,2
Sarbajit K. Rakshit,IN,1504,34,1
Kai Zhang,CN,1448,35,2
Gurtej S. Sandhu,US,1441,36,28
Yunjung Yi,KR,1419,37,2
Donald E. Weder,US,1413,38,29
Julian Hoenig,US,1376,39,30
Takashi Suzuki,JP,1355,40,3
Shota Aoyagi,US,1324,41,31
Shou-Shan Fan,CN,1314,42,3
Suckchel Yang,KR,1310,43,3
Paul Lapstun,AU,1300,44,2
Satoshi Seo,JP,1290,45,4
Alexander Reznicek,US,1290,45,32
Clarence T. Tegreene,US,1254,47,33
Juan Montojo,US,1251,48,34
Hao Xu,US,1237,49,35
Jason L. Harris,US,1235,50,36
